hospital_id,CCN,hospital_name,address,city,state,zip,full_address,latitude,longitude,hospital_type,hospital_ownership,emergency_services,high_quality,data_source,quality_rating,hospital_commercial_to_medicare,hospital_charge_to_medicare,procedure_count,price_rows,quality_rows,commercial_price_rows,median_estimated_cost,median_value_score_base,min_source_year,max_source_year
020026,020026,Alaska Native Medical Center,4315 DIPLOMACY DR,ANCHORAGE,AK,99508,"4315 DIPLOMACY DR, ANCHORAGE, AK, 99508",,,Acute Care Hospitals,Government - Federal,Yes,False,thesis_merged_with_turquoise.csv,3.0,,3.4802,10,10,10,0,15074.9249,43.698750000000004,2023,2023
020017,020017,Alaska Regional Hospital,2801 DEBARR ROAD,ANCHORAGE,AK,99508,"2801 DEBARR ROAD, ANCHORAGE, AK, 99508",,,Acute Care Hospitals,Proprietary,Yes,False,thesis_merged_with_turquoise.csv,2.0,1.6386,8.0023,10,10,10,10,3294.00025,69.54464999999999,2017,2023
020008,020008,Bartlett Regional Hospital,3260 HOSPITAL DR,JUNEAU,AK,99801,"3260 HOSPITAL DR, JUNEAU, AK, 99801",,,Acute Care Hospitals,Government - Local,Yes,True,thesis_merged_with_turquoise.csv,5.0,2.4906,2.2213,8,8,8,8,42874.96645,50.7267,2014,2023
020024,020024,Central Peninsula General Hospital,250 HOSPITAL PLACE,SOLDOTNA,AK,99669,"250 HOSPITAL PLACE, SOLDOTNA, AK, 99669",,,Acute Care Hospitals,Voluntary non-profit - Other,Yes,False,thesis_merged_with_turquoise.csv,1.0,2.8604,3.0738,10,10,10,10,39363.2342,10.886,2019,2023
020012,020012,Fairbanks Memorial Hospital,1650 COWLES STREET,FAIRBANKS,AK,99701,"1650 COWLES STREET, FAIRBANKS, AK, 99701",,,Acute Care Hospitals,Voluntary non-profit - Private,Yes,False,thesis_merged_with_turquoise.csv,3.0,2.0761,2.4316,9,9,9,9,36956.5975,30.9798,2013,2023
020006,020006,Mat-Su Regional Medical Center,2500 SOUTH WOODWORTH LOOP,PALMER,AK,99645,"2500 SOUTH WOODWORTH LOOP, PALMER, AK, 99645",,,Acute Care Hospitals,Voluntary non-profit - Other,Yes,False,thesis_merged_with_turquoise.csv,3.0,2.0653,5.166,10,10,10,10,23773.4746,36.38735,2023,2023
020001,020001,Providence Alaska Medical Center,3200 PROVIDENCE DRIVE,ANCHORAGE,AK,99508,"3200 PROVIDENCE DRIVE, ANCHORAGE, AK, 99508",,,Acute Care Hospitals,Voluntary non-profit - Church,Yes,False,thesis_merged_with_turquoise.csv,3.0,,6.0811,10,10,10,0,10265.07,57.99935,2022,2023
020018,020018,Yukon Kuskokwim Delta Reg Hospital,PO BOX 287,BETHEL,AK,99559,"PO BOX 287, BETHEL, AK, 99559",,,Acute Care Hospitals,Tribal,Yes,,thesis_merged_with_turquoise.csv,,,1.1805,4,4,0,0,23449.2987,,2013,2023
010036,010036,Andalusia Health,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420,"849 SOUTH THREE NOTCH STREET, ANDALUSIA, AL, 36420",,,Acute Care Hospitals,Proprietary,Yes,False,thesis_merged_with_turquoise.csv,2.0,,6.4659,10,10,10,0,8330.005000000001,58.5768,2019,2023
010079,010079,Athens Limestone Hospital,700 WEST MARKET STREET,ATHENS,AL,35611,"700 WEST MARKET STREET, ATHENS, AL, 35611",,,Acute Care Hospitals,Government - Hospital District or Authority,Yes,False,thesis_merged_with_turquoise.csv,3.0,2.3807,3.2223,10,10,10,10,12924.51005,48.31325,2022,2023
