procedure_code,procedure_name,row_count,hospital_count,state_count,price_rows,quality_rows,commercial_price_rows,median_estimated_cost,min_estimated_cost,max_estimated_cost,median_quality_rating,min_source_year,max_source_year
190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH MCC,2981,2981,51,2981,2428,1777,11211.96,90.7,774722.9425,3.0,2013,2023
193,SIMPLE PNEUMONIA AND PLEURISY WITH MCC,2986,2986,51,2986,2457,1807,13118.018,90.7,932620.195,3.0,2013,2023
291,HEART FAILURE AND SHOCK WITH MCC,3058,3058,51,3058,2499,1860,13126.885699999999,1.28,902601.4412,3.0,2013,2023
309,CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITH CC,2586,2586,51,2586,2311,1624,8182.415,16.6667,523535.55,3.0,2013,2023
378,GASTROINTESTINAL HEMORRHAGE WITH CC,2717,2717,51,2717,2383,1692,10297.2867,56.0,691626.5288,3.0,2013,2023
470,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITHOUT MCC,2923,2923,51,2923,2398,1776,19226.2,555.5,1322864.0325,3.0,2013,2023
641,"MISCELLANEOUS DISORDERS OF NUTRITION, METABOLISM, FLUIDS AND ELECTROLYTES WITHOUT MCC",2960,2960,51,2960,2419,1761,8188.795,24.6667,549336.2163,3.0,2013,2023
683,RENAL FAILURE WITH CC,2849,2849,51,2849,2412,1752,9387.77,62.3333,633276.2488,3.0,2013,2023
871,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC,3113,3113,51,3113,2498,1866,18752.65,49.1356,1393798.2812,3.0,2013,2023
872,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITHOUT MCC,2997,2997,51,2997,2475,1818,10601.3731,90.7,724035.5362,3.0,2013,2023
